keyword,monthly_search_volume,pc_search_volume,mobile_search_volume,pc_cpc,mobile_cpc,category,memo,priority
에어프라이어 고구마 굽는 법,,,,,,생활/요리,첫 파이프라인 스모크 테스트 키워드,P1
모텔임대,3970,,,2100,1870,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
방광염치료,2170,,,300,1870,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
헬로우드림,3420,,,1550,1870,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
바나듐,2360,,,490,1870,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
오늘상한가종목,2080,,,200,1880,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
안양공유오피스,2100,,,220,1880,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
유치원문방구,8320,,,6440,1880,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
줄기세포치료,2220,,,340,1880,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
일요일진료안과,1930,,,40,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
소방설비기사응시자격,3740,,,1850,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
모텔매매,3180,,,1290,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
초등수학문제집,2270,,,380,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
간병인보험료,2320,,,430,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
초음파마사지기,2180,,,290,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
천재교육교과서,3650,,,1760,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
구직활동,2340,,,450,1890,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
다음부동산,3450,,,1550,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
L아르기닌효능,2350,,,450,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
토론회,2650,,,750,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
미용실인테리어,2390,,,490,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
창업지원센터,3080,,,1180,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
구인구직사이트순위,2800,,,900,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
일상생활배상책임보험,2820,,,920,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
개인사업자세금,2400,,,500,1900,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
더경기패스신청,2120,,,210,1910,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
네이버쇼핑구매내역,2300,,,390,1910,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
우울증치료,2230,,,320,1910,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
소상공인스마트상점,4710,,,2800,1910,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
수영대회,2720,,,800,1920,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
류마티스관절염치료,2290,,,370,1920,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
주택담보대출갈아타기,2880,,,960,1920,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
지급명령이의신청,2750,,,830,1920,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
학생부종합전형,2390,,,470,1920,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
노안수술비용,2280,,,360,1920,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
엑스골프,6650,,,4720,1930,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
교사자람,7650,,,5720,1930,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
노인인권교육,3300,,,1370,1930,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
경찰출신변호사,2250,,,310,1940,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
롱패딩,2380,,,440,1940,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
골절진단비,2220,,,280,1940,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
따뜻한,3887,,,1944,1943,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
민물장어효능,2060,,,110,1950,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
전세임대주택,2470,,,510,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
대상포진가려움,2180,,,220,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
엘지헬로비전고객센터,2230,,,270,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
김소형알부민,2130,,,170,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
유방암종류,2220,,,260,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
그림책,3080,,,1120,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
넷플릭스싸게보는법,2240,,,280,1960,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
전립선검사,2180,,,210,1970,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
당좌거래정지,3010,,,1040,1970,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
경기도어린이청소년교통비,2380,,,400,1980,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
자궁탈출증,2700,,,720,1980,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
자동차보험비교견적,3840,,,1860,1980,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
학원인테리어,3060,,,1070,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
성남시대형폐기물,2470,,,480,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
제2금융권,2410,,,420,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
정리정돈,2800,,,810,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
눈건강,2530,,,540,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
홍보영상제작,2610,,,620,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
법정의무교육,7680,,,5690,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
갱년기검사,2410,,,420,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
금융투자,3140,,,1150,1990,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
톤업선크림추천,2340,,,340,2000,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
뷰티디바이스순위,2630,,,630,2000,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
눈가주름,2400,,,400,2000,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
커피쿠폰,2890,,,890,2000,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
사회복지사2급자격증,3870,,,1870,2000,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
보험비교사이트,3180,,,1180,2000,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
꿀파일무료쿠폰,4050,,,2040,2010,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
암보험비교,2720,,,710,2010,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
천안아이파크시티,2990,,,980,2010,,로알남 제공 키워드 (0730 무료특강 신청자 키워드 100개),
